e_id,e_fname,e_lname,e_position,e_department,e_photo,e_login,e_password
1.0,John,Doe,Manager,Civil,,JohnDoe,Qwerty123
2.0,Jane,Smith,Developer,Civil,,JaneSmith,Qwerty123
3.0,Michael,Johnson,Stroitel,Civil,,MichaelJohnson,Qwerty123
4.0,Emily,Davis,Stroitel,Industrial,,EmilyDavis,Qwerty123
5.0,William,Brown,Stroitel,Industrial,,WilliamBrown,Qwerty123
6.0,Jessica,Wilson,Project Manager,Industrial,,JessicaWilson,Qwerty123
7.0,Daniel,Taylor,Designer,Industrial,,DanielTaylor,Qwerty123
8.0,Sophia,Miller,Analyst,Office,,SophiaMiller,Qwerty123
9.0,David,Anderson,Customer Service Rep,Office,,DavidAnderson,Qwerty123
10.0,Alex,Chen,Construction Worker,Construction,,AlexChen,Qwerty123
11.0,Karen,Lee,Engineer,Engineering,,KarenLee,Qwerty123
12.0,Chris,Taylor,Project Manager,Construction,,ChrisTaylor,Qwerty123
13.0,Megan,Johnson,Designer,Design,,MeganJohnson,Qwerty123
14.0,Ryan,Kim,Construction Worker,Construction,,RyanKim,Qwerty123
15.0,Amy,Wang,Architect,Design,,AmyWang,Qwerty123
16.0,Kevin,Chang,Construction Worker,Construction,,KevinChang,Qwerty123
17.0,Grace,Lee,Engineer,Engineering,,GraceLee,Qwerty123
18.0,Brandon,Nguyen,Project Manager,Construction,,BrandonNguyen,Qwerty123
19.0,Michelle,Garcia,Designer,Design,,MichelleGarcia,Qwerty123
